path,tracked,text_lines,bytes,sha256,review_scope,method
api/go/protocol.go,True,63,1343,88788438fd90ad527fd642388b058f7d07a7fe83a9dc93366fe20fcf1da6f3ce,01-adapter,full-text
api/go/request_intake_test.go,True,231,7067,94664a0b2c3a97fafd23aaece8e0f3dd9ee9a5dff6591ed1b8998a2bccdf22b3,01-adapter,full-text
api/go/schema_qualification_test.go,True,64,1765,11e6ec9a8d878de46eb9b8587ce4cf5aa7db919d42f44149e4143ae0c8c43731,01-adapter,full-text
api/go/seeddb/ddl_identity_test.go,True,26,597,2488e86dbe6d10f7be662812805cd457c764e27e45142804bdd388e9c9108ccb,01-adapter,full-text
api/go/seeddb/integrity.go,True,1219,37543,6ff83d219125c2316a44b6857fdff369e656fdace1a6c8c225808b17e5e791c9,01-adapter,full-text
api/go/seeddb/integrity_test.go,True,492,14872,12e94c76c047a4dcab2e9775014ff5b8bdba63a6692d7cda736f2a2a7967a337,01-adapter,full-text
api/go/seeddb/seeddb.go,True,2175,69617,ee5052c3dc4b9e48059d1a303bb7cce500efd66f250b32317773ba139548b53a,01-adapter,full-text
api/go/seeddb/seeddb_test.go,True,1582,51976,52ac6db29a7cc82160547155d7aeb89b6826977882d0c72a23584d64f1188339,01-adapter,full-text
api/go/synchro.go,True,166,5240,1983b3e5a5ff2cb24b41d3764276e70a358b92e82e70c311ee434b9af43937bd,01-adapter,full-text
api/go/synchro_test.go,True,1432,43256,9e54ab588eda90066992a4da17015b2f53f2c26f16ad525649af742c04c798c4,01-adapter,full-text
api/go/version.go,True,175,4217,3f05ecddfeaf4d5273fd2eab5be3142391d37ce39953fae0426dbc72873c28f6,01-adapter,full-text
clients/README.md,True,44,1622,3a3a43246f936dfc54da05909619a25d22b07cc4e8528c7a9e1f7087395f6966,19-product-docs,full-text
clients/kotlin/.gitignore,True,5,46,6e47dbe6c9c149da55a0f4902aafc3e65c3f28a194bea7525e91da3bd2889202,07-kotlin,full-text
clients/kotlin/README.md,True,7,262,b2da19ec78b409c4b659d4674482a5a01109c67a8b123e7d2f82a5d14b4f5438,07-kotlin,full-text
clients/kotlin/build.gradle.kts,True,7,349,2487489ecb4765b56bc5bf8910235ebd989a196b99b4fb660366c283fe94221a,07-kotlin,full-text
clients/kotlin/conformance-app/.gitignore,True,1,8,020c2606e8ed484089c2083e0be438b9d0736bee1558a6b76af0d58bd23f69cf,07-kotlin,full-text
clients/kotlin/conformance-app/build.gradle.kts,True,36,1102,71880901b3ccc6ba9d000a037e052cc43a31437df92b41a14ff7e0f13429afd3,07-kotlin,full-text
clients/kotlin/conformance-app/src/androidTest/kotlin/com/trainstar/synchro/conformance/ClientCallLifecycle.kt,True,123,5164,b44a381a8ab1b3eb645fcb649359e83e7a30b4e473377d2625269f9e81d6bd18,07-kotlin,full-text
clients/kotlin/conformance-app/src/androidTest/kotlin/com/trainstar/synchro/conformance/ClientCallLifecycleTest.kt,True,171,6415,5d442a1118e1bcb53706eb0aaaaa8982768df522305744a6a854805a9a375ede,07-kotlin,full-text
clients/kotlin/conformance-app/src/androidTest/kotlin/com/trainstar/synchro/conformance/NativeSession.kt,True,1261,61781,37128107a165dee47f598131526736752f8571fa7b6cf866feeeff290becaca6,07-kotlin,full-text
clients/kotlin/conformance-app/src/androidTest/kotlin/com/trainstar/synchro/conformance/NativeSessionInstrumentationTest.kt,True,77,3182,3cc4530e3b3910df88c471bbe12fcb20ecf69585fb7489033f1282075f12c29a,07-kotlin,full-text
clients/kotlin/conformance-app/src/androidTest/kotlin/com/trainstar/synchro/conformance/NativeSessionTest.kt,True,145,6884,d501ec1602578fea18a9691d49cf612ac0169d1dc354eb9c4d3a58514ee55672,07-kotlin,full-text
clients/kotlin/conformance-app/src/main/AndroidManifest.xml,True,6,245,cb7459b36d2c5e3bf954329cdb0707b8ddd5934f9e85a2f097329c0ef50bd45c,07-kotlin,full-text
clients/kotlin/gradle.properties,True,16,584,e848efb25bffd1fd535ed564b2a4b7b050c144a5edb19fe4039641af3e1ab11d,07-kotlin,full-text
clients/kotlin/gradle/wrapper/gradle-wrapper.jar,True,,48966,55243ef57851f12b070ad14f7f5bb8302daceeebc5bce5ece5fa6edb23e1145c,07-kotlin,binary-structure
clients/kotlin/gradle/wrapper/gradle-wrapper.properties,True,7,250,7e1d39503dd81e9efcfdcb507c788d307c0f66fc49ffebb5ab8a0518f7398da8,07-kotlin,full-text
clients/kotlin/gradlew,True,248,8654,5434a5b0657cbc767c4486551fe223f12a10eaa61017fd4c68382dc6e0810da8,07-kotlin,full-text
clients/kotlin/gradlew.bat,True,93,2896,fedad02c18e266ec094995a5751b7fe1eb6e74f66bf75db64fae2e50eb22c234,07-kotlin,full-text
clients/kotlin/settings.gradle.kts,True,19,366,f61ac76a12ce7d93a260ce221b803d2022d2fa233bd4e69c721234cc3b4820f0,07-kotlin,full-text
clients/kotlin/synchro/build.gradle.kts,True,140,4200,f42cc88609f7a77b82cc4c59fc1846b43d8d47a691a68bfb5fad7a281001ef2c,07-kotlin,full-text
clients/kotlin/synchro/src/main/AndroidManifest.xml,True,3,121,8ef94a6aec2218c5fd02408d018f6d52602c0ef4473dd1c115c5c6964f1e63e1,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/ApplicationSql.kt,True,389,16444,caae682ecdb8f8cc3c52d524edf6214f08c44385c8139b2e2f9177e58bb26dc6,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/ChangeTracker.kt,True,345,14409,d0af84d6429094fee6b4ca8aae3a8db3ed9765da83beda4625a5f552148e79cd,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/ContractModels.kt,True,921,39703,ccf7149ccbcc55e69c26846aba9c0e2725a04e2269aea77a0bd5b687574a6013,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/DurableBackoff.kt,True,153,5644,cc81b8deefced3802148079c0aa807fc77be18e35b36942c2954833a020f7304,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/Errors.kt,True,69,2923,4d6e1d5c55f58205b17de40d08146b903612d35e2ba6c47feed37efb89695c7f,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/HttpClient.kt,True,670,29157,94866fc6dfea45cdc639c11c269f643153c1162de03f54c966324aa9ccefc3df,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/Integrity.kt,True,717,32130,bd6914d41b2329fc7090fae4ea5265d1a682b72f2e8f3436663583a1ed0e10c9,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/LocalSchema.kt,True,93,3372,b890ba7508d54591c9f7b442a88295476f723919500818034403c3bbed8f236b,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/MigrationJournal.kt,True,59,2063,9e9a82f72ee7596fe2e32c86336330029144eb66709f9bc35a976f6065da298f,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/Models.kt,True,380,12221,833e9881eb2991fc77f09d87543a670a497a8fa4b13a818bc9739772ead739f8,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/PullProcessor.kt,True,1314,55305,5f4b83ec8c92939260eb425dfd47568d9ba5b1ddbd78f6053fa4f7666c45b184,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/PushProcessor.kt,True,1769,82974,5c60ea9c8a6242b6894bc5b6d0f684b81e49398b3fe6bab427d64f1effa83443,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/SQLiteSchema.kt,True,403,17962,ffd2a3b9fdf9001b9a1c390f6e803a397ed1adddf3479185ab679425d56da511,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/SchemaManager.kt,True,923,45480,a1bc9a8980306ad2ac31939f337ff3472b2a0bed4d4edfb3d51032626eca024c,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/SeedDatabaseInstaller.kt,True,551,22905,8164ba902a9693421b944999942934deea47f81d5eecef961c479767c7b06ff3,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/SyncEngine.kt,True,1686,68123,47df67ca407659e35484125bd8cb6c180903e225f580e22fbb8166805620c6d0,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/SynchroClient.kt,True,790,36517,ffb2247dc140865f0d794fa40b1ef010c955f72a3ea2724f8c841b5506f5d4c4,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/SynchroConfig.kt,True,33,1164,07a98ade8fac4cce28d198e7347d6b3ceb301808bbe4f47c02603edc4d063bb4,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/SynchroDatabase.kt,True,1512,60272,057f68c4161f9c6b0d9147f3d655a6c09355f543f08b60c92175c55ee3e049b2,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/SynchroMeta.kt,True,1258,47413,500b100979f1495cf18b5a191f93fb7c4bec61be0946b8678fcc870e444b31d0,07-kotlin,full-text
